Frame,Tempo_Inferenza_ms,Confidenza_Media
1,46.77,0.7530
2,34.28,0.7488
3,40.41,0.7658
4,37.33,0.7619
5,37.50,0.7556
6,39.77,0.7305
7,40.44,0.7171
8,42.77,0.7144
9,45.22,0.7409
10,38.75,0.7460
11,44.83,0.7422
12,35.71,0.7451
13,40.34,0.7519
14,39.37,0.7527
15,40.99,0.7543
16,41.30,0.7649
17,40.58,0.7486
18,40.28,0.7470
19,38.74,0.7199
20,40.32,0.7863
21,39.52,0.7794
22,39.11,0.7846
23,38.77,0.7982
24,51.30,0.7372
25,34.03,0.7325
26,40.17,0.7387
27,40.62,0.7428
28,44.84,0.7068
29,39.55,0.7333
30,43.36,0.7197
31,39.05,0.7569
32,36.19,0.7119
33,39.23,0.7181
34,41.07,0.7239
35,41.72,0.7221
36,41.88,0.6970
37,38.96,0.6985
38,41.03,0.6998
39,40.70,0.7369
40,41.51,0.7460
41,38.83,0.7336
42,40.57,0.7404
43,40.59,0.7323
44,37.76,0.7340
45,38.62,0.7272
46,40.27,0.7314
47,41.37,0.7256
48,38.79,0.7273
49,38.20,0.7175
50,41.85,0.7164
51,41.58,0.7010
52,35.56,0.7068
53,37.89,0.7035
54,44.39,0.7161
55,37.93,0.7160
56,36.60,0.7139
57,40.68,0.7037
58,39.54,0.7001
59,41.83,0.7024
60,33.32,0.6932
61,45.48,0.6393
62,41.99,0.6551
63,37.06,0.7490
64,35.95,0.7422
65,40.06,0.7539
66,38.51,0.7152
67,40.80,0.7598
68,41.83,0.7635
69,36.64,0.7667
70,39.01,0.7698
71,42.04,0.7675
72,40.24,0.7714
73,40.46,0.7678
74,37.75,0.7672
75,38.81,0.7136
76,38.73,0.7192
77,38.23,0.7096
78,36.52,0.7071
79,37.02,0.7598
80,40.50,0.7596
81,38.04,0.6875
82,35.99,0.7000
83,37.73,0.6770
84,31.59,0.6619
85,36.30,0.6883
86,40.71,0.6907
87,40.59,0.6902
88,39.43,0.6878
89,37.12,0.6398
90,46.02,0.6402
91,41.49,0.6402
92,42.37,0.6684
93,41.34,0.6707
94,35.35,0.6401
95,40.06,0.6416
96,35.63,0.6974
97,40.54,0.7040
98,40.84,0.7533
99,36.69,0.7505
100,40.81,0.7041
101,61.40,0.8239
102,36.18,0.6918
103,45.38,0.7388
104,37.61,0.7383
105,39.84,0.6784
106,30.86,0.6959
107,35.58,0.6472
108,35.37,0.6803
109,40.63,0.7174
110,40.92,0.6759
111,46.30,0.6771
112,37.14,0.7251
113,35.10,0.7258
114,39.22,0.6984
115,49.34,0.7039
116,40.67,0.7033
117,47.76,0.6971
118,38.65,0.8369
119,35.73,0.7667
120,49.43,0.7655
121,30.80,0.8104
122,38.76,0.8087
123,35.15,0.8072
124,35.22,0.8097
125,39.67,0.7412
126,36.82,0.8285
127,43.74,0.8044
128,40.24,0.8039
129,36.98,0.8182
130,44.42,0.8019
131,38.76,0.8181
132,39.20,0.8038
133,43.87,0.8082
134,37.45,0.8018
135,41.11,0.0000
136,50.06,0.6951
137,35.37,0.6267
138,40.88,0.6212
139,39.56,0.6553
140,43.62,0.6296
141,42.60,0.6719
142,35.82,0.6355
143,35.03,0.5945
144,44.23,0.5669
145,35.73,0.5903
146,41.42,0.5892
147,41.19,0.5967
148,35.34,0.6046
149,41.91,0.5995
150,38.00,0.5864
151,35.80,0.6166
152,44.97,0.6092
153,37.65,0.0000
154,40.31,0.0000
155,40.48,0.0000
156,37.01,0.5842
157,37.39,0.0000
158,37.15,0.0000
159,38.54,0.0000
160,45.86,0.0000
161,41.32,0.0000
162,38.32,0.0000
163,38.54,0.0000
164,38.06,0.0000
165,38.17,0.0000
166,40.57,0.0000
167,38.09,0.0000
168,39.82,0.0000
169,38.85,0.0000
170,38.33,0.0000
171,36.90,0.0000
172,37.10,0.0000
173,42.40,0.0000
174,38.48,0.5213
175,37.49,0.5246
176,37.42,0.5164
177,42.61,0.5332
178,39.73,0.5257
179,40.63,0.0000
180,36.65,0.0000
181,49.63,0.0000
182,49.53,0.0000
183,38.09,0.0000
184,43.54,0.0000
185,41.34,0.0000
186,48.12,0.0000
187,43.45,0.0000
188,37.19,0.0000
189,38.53,0.0000
190,37.08,0.0000
191,40.41,0.0000
192,38.49,0.0000
193,35.24,0.0000
194,37.50,0.0000
195,35.56,0.0000
196,37.79,0.0000
197,43.65,0.0000
198,51.12,0.0000
199,57.97,0.0000
200,51.55,0.0000
201,57.10,0.0000
202,45.78,0.0000
203,48.87,0.0000
204,48.87,0.0000
205,52.51,0.0000
206,48.15,0.0000
207,47.69,0.0000
208,46.68,0.0000
209,40.08,0.0000
210,46.44,0.5012
211,60.87,0.0000
212,47.34,0.0000
213,49.29,0.0000
214,43.95,0.0000
215,41.60,0.0000
216,49.31,0.0000
217,46.68,0.0000
218,51.71,0.0000
219,49.55,0.0000
220,44.17,0.0000
221,34.25,0.0000
222,47.74,0.0000
223,39.92,0.0000
224,43.57,0.0000
225,40.51,0.0000
226,43.31,0.0000
227,36.19,0.0000
228,39.81,0.0000
229,38.93,0.0000
230,39.80,0.0000
231,38.95,0.0000
232,41.32,0.0000
233,44.96,0.0000
234,42.77,0.0000
235,37.42,0.0000
236,46.34,0.0000
237,36.72,0.0000
238,50.33,0.0000
