Frame,Tempo_Inferenza_ms,Confidenza_Media
1,56.15,0.6673
2,24.36,0.5926
3,18.96,0.5889
4,17.68,0.5823
5,15.71,0.5750
6,16.43,0.7177
7,15.58,0.7184
8,19.29,0.7184
9,20.96,0.6673
10,24.98,0.6075
11,16.94,0.6895
12,23.74,0.6632
13,18.48,0.6004
14,18.97,0.5687
15,19.66,0.6558
16,25.98,0.6093
17,14.89,0.6736
18,14.95,0.6832
19,15.18,0.6535
20,15.42,0.6438
21,15.66,0.6524
22,17.45,0.6654
23,15.01,0.6571
24,15.03,0.6759
25,15.35,0.6774
26,22.87,0.6795
27,22.17,0.6594
28,24.33,0.6428
29,24.93,0.5594
30,22.73,0.6080
31,27.58,0.6730
32,20.66,0.6627
33,23.54,0.7271
34,26.43,0.7383
35,19.35,0.5351
36,16.15,0.5866
37,14.82,0.6199
38,24.40,0.6263
39,24.59,0.6327
40,26.44,0.6323
41,26.81,0.6413
42,20.27,0.6489
43,23.27,0.6408
44,15.06,0.6443
45,20.85,0.6508
46,23.19,0.6888
47,17.01,0.7142
48,25.44,0.6409
49,22.18,0.7325
50,19.23,0.7314
51,34.10,0.6492
52,20.90,0.6605
53,18.36,0.6500
54,24.88,0.6877
55,15.55,0.6587
56,21.58,0.6564
57,15.97,0.6765
58,17.38,0.6339
59,21.49,0.5864
60,19.61,0.5797
61,21.64,0.6043
62,23.76,0.6130
63,25.20,0.6217
64,24.41,0.6332
65,18.77,0.6458
66,17.60,0.6874
67,23.53,0.6277
68,21.77,0.6853
69,17.67,0.6408
70,21.60,0.6519
71,22.37,0.6623
72,26.28,0.6730
73,31.55,0.6782
74,14.98,0.6748
75,15.07,0.6644
76,26.38,0.6677
77,14.81,0.7058
78,15.02,0.6748
79,14.83,0.6086
80,18.11,0.6086
81,15.48,0.5630
82,14.69,0.6303
83,18.77,0.6228
84,26.21,0.6292
85,21.56,0.6318
86,19.04,0.6338
87,15.08,0.6276
88,14.74,0.5396
89,27.21,0.6310
90,20.74,0.5989
91,25.69,0.6216
92,16.55,0.6095
93,15.59,0.6063
94,24.55,0.5548
95,20.63,0.6360
96,14.77,0.6527
97,27.86,0.6528
98,26.38,0.6524
99,24.83,0.6622
100,20.12,0.7399
101,31.31,0.7681
102,20.65,0.7683
103,20.94,0.6728
104,24.25,0.6736
105,22.71,0.6717
106,22.50,0.6858
107,22.57,0.6143
108,16.83,0.6948
109,24.65,0.7068
110,18.74,0.7098
111,26.85,0.7309
112,17.27,0.7297
113,15.06,0.6015
114,15.33,0.6306
115,17.82,0.6073
116,21.79,0.6668
117,21.12,0.6075
118,22.47,0.6103
119,24.29,0.6636
120,28.13,0.5667
121,20.09,0.6263
122,20.85,0.6270
123,22.70,0.5997
124,26.08,0.6272
125,28.20,0.7018
126,18.60,0.5718
127,19.37,0.6362
128,18.96,0.6356
129,22.40,0.6024
130,29.85,0.5772
131,16.92,0.6230
132,20.68,0.6066
133,23.19,0.6229
134,14.86,0.6354
135,15.24,0.0000
136,20.59,0.0000
137,19.31,0.0000
138,21.03,0.0000
139,15.99,0.3701
140,18.71,0.3201
141,17.71,0.4260
142,27.14,0.0000
143,15.33,0.0000
144,15.75,0.0000
145,15.54,0.0000
146,15.78,0.0000
147,20.92,0.4662
148,15.66,0.0000
149,16.01,0.5529
150,16.09,0.0000
151,15.42,0.0000
152,16.45,0.0000
153,15.86,0.0000
154,16.36,0.0000
155,15.56,0.0000
156,15.86,0.3741
157,16.20,0.4519
158,17.05,0.4712
159,16.24,0.0000
160,15.25,0.0000
161,24.77,0.6826
162,27.26,0.0000
163,29.39,0.5287
164,19.66,0.5442
165,27.95,0.8298
166,15.10,0.3708
167,15.08,0.4120
168,15.47,0.5024
169,15.22,0.3512
170,16.00,0.3677
171,16.51,0.0000
172,19.27,0.0000
173,16.71,0.0000
174,16.76,0.3486
175,19.26,0.4666
176,16.38,0.4744
177,15.39,0.4929
178,19.24,0.4517
179,16.10,0.5286
180,17.04,0.5301
181,21.72,0.7399
182,16.13,0.7356
183,16.60,0.5824
184,16.37,0.7051
185,21.25,0.4920
186,16.03,0.5271
187,17.28,0.5081
188,14.82,0.4847
189,14.73,0.6160
190,17.48,0.7570
191,18.25,0.7953
192,36.67,0.8019
193,38.73,0.5740
194,20.80,0.5550
195,20.51,0.3971
196,17.74,0.4774
197,17.36,0.6291
198,18.23,0.5646
199,16.36,0.6001
200,15.63,0.6093
201,21.98,0.7550
202,24.67,0.7304
203,18.33,0.6628
204,23.60,0.4602
205,17.57,0.5978
206,27.11,0.5902
207,27.09,0.6160
208,19.39,0.6227
209,19.80,0.6532
210,17.65,0.5590
211,23.94,0.7003
212,21.51,0.7180
213,18.71,0.7173
214,19.37,0.7636
215,17.26,0.7314
216,27.41,0.5695
217,20.58,0.5972
218,18.08,0.5877
219,23.44,0.5057
220,17.52,0.5902
221,17.42,0.4744
222,28.11,0.8046
223,25.15,0.7760
224,18.36,0.7705
225,18.48,0.5919
226,20.25,0.6995
227,19.34,0.6088
228,21.49,0.5736
229,20.10,0.5046
230,19.31,0.5064
231,18.64,0.5188
232,19.78,0.5414
233,20.34,0.4949
234,18.92,0.4875
235,21.50,0.5057
236,20.32,0.4433
237,17.52,0.4183
238,17.86,0.4872
239,18.40,0.4059
240,20.35,0.3926
241,21.05,0.4643
242,18.09,0.4537
243,21.57,0.5071
244,18.30,0.4601
245,19.13,0.4520
246,18.89,0.5104
247,19.42,0.4478
248,19.36,0.4443
249,18.85,0.5736
250,18.13,0.4086
251,18.44,0.4276
252,18.16,0.5118
253,19.04,0.4447
254,21.36,0.5836
255,23.47,0.6750
256,22.48,0.6580
257,18.92,0.6568
258,21.11,0.3798
259,22.03,0.0000
260,19.35,0.0000
261,18.94,0.0000
262,18.47,0.0000
263,17.95,0.0000
264,21.89,0.0000
265,19.55,0.0000
266,17.44,0.0000
267,27.42,0.0000
268,20.41,0.0000
269,18.49,0.4019
270,18.51,0.0000
271,18.55,0.0000
272,19.03,0.0000
273,18.03,0.0000
274,25.78,0.0000
275,18.39,0.0000
276,17.86,0.0000
277,20.50,0.0000
278,17.85,0.0000
279,17.49,0.0000
280,17.28,0.0000
281,18.96,0.0000
282,16.99,0.0000
283,18.41,0.0000
284,17.84,0.0000
285,17.45,0.0000
286,18.54,0.0000
287,18.76,0.3478
288,19.13,0.0000
289,18.09,0.0000
290,17.50,0.0000
291,17.40,0.0000
292,21.67,0.0000
293,19.60,0.0000
294,16.97,0.0000
295,16.86,0.0000
296,18.08,0.0000
297,23.39,0.0000
298,19.51,0.0000
299,21.44,0.0000
300,22.42,0.3082
301,21.08,0.0000
302,17.83,0.0000
303,17.45,0.0000
304,17.03,0.0000
305,17.06,0.0000
306,17.42,0.4626
307,19.57,0.5345
308,17.47,0.5308
309,16.74,0.4942
310,16.50,0.4736
311,16.62,0.3557
312,18.11,0.0000
313,24.19,0.0000
314,23.39,0.0000
315,18.23,0.0000
316,17.96,0.0000
317,19.63,0.0000
318,29.08,0.0000
319,24.76,0.0000
320,16.83,0.0000
321,17.32,0.0000
322,25.60,0.0000
323,17.05,0.0000
324,17.69,0.3484
325,17.73,0.0000
326,16.95,0.0000
327,17.20,0.0000
328,17.93,0.0000
329,19.57,0.0000
330,17.39,0.0000
331,16.45,0.0000
332,16.56,0.0000
333,16.75,0.0000
334,23.11,0.0000
335,16.49,0.0000
336,26.30,0.3717
337,17.15,0.4968
338,16.58,0.4517
339,19.83,0.0000
340,16.96,0.0000
341,16.75,0.0000
342,18.98,0.0000
343,17.10,0.3566
344,17.05,0.3441
345,18.66,0.5440
346,26.65,0.6267
347,16.73,0.5775
348,16.48,0.5220
349,16.53,0.3609
350,17.65,0.3441
351,16.66,0.4406
352,22.93,0.3158
353,17.74,0.8086
354,19.12,0.0000
355,18.10,0.0000
356,25.50,0.0000
357,26.13,0.3063
358,16.51,0.0000
359,16.50,0.4390
360,26.09,0.6260
361,22.25,0.0000
362,18.02,0.0000
363,17.73,0.3250
364,19.44,0.0000
365,16.40,0.0000
366,16.48,0.0000
367,18.66,0.0000
368,16.42,0.0000
369,17.87,0.0000
370,16.34,0.0000
371,17.79,0.0000
372,23.72,0.0000
373,18.96,0.0000
374,16.71,0.0000
375,26.95,0.4147
376,16.96,0.0000
377,16.41,0.0000
378,24.34,0.0000
379,17.84,0.3519
380,17.11,0.3517
381,18.34,0.4682
382,19.63,0.5712
383,22.41,0.4352
384,22.98,0.3799
385,16.41,0.4467
386,16.62,0.4587
387,19.27,0.3417
388,16.48,0.0000
389,16.68,0.3221
390,18.18,0.3775
391,16.72,0.4327
392,19.09,0.4342
393,22.70,0.3672
394,17.60,0.4041
395,20.23,0.3513
396,16.57,0.5959
397,32.80,0.6237
398,16.36,0.6346
399,16.44,0.5306
400,18.84,0.6038
401,16.53,0.6513
402,17.15,0.6542
403,17.44,0.6578
404,18.34,0.6217
405,18.32,0.6569
406,34.20,0.6277
407,17.68,0.4638
408,17.99,0.4321
409,18.13,0.4763
410,17.10,0.4757
411,17.32,0.4152
412,19.25,0.5006
413,18.61,0.4473
414,18.98,0.4272
415,39.17,0.4299
416,20.51,0.4167
417,42.17,0.3942
418,43.63,0.3454
419,39.77,0.3921
420,50.48,0.4018
421,42.56,0.4365
422,54.64,0.4382
423,80.59,0.3036
424,55.30,0.0000
425,33.31,0.0000
426,55.24,0.0000
427,37.03,0.0000
428,45.53,0.0000
429,50.59,0.0000
430,59.95,0.0000
431,47.86,0.3106
432,45.41,0.3457
433,50.84,0.3887
434,65.96,0.3820
435,51.33,0.3584
436,52.91,0.3238
437,54.31,0.3728
438,33.02,0.3346
439,34.23,0.0000
440,32.97,0.3035
441,45.81,0.3226
442,30.97,0.3392
443,29.24,0.3332
444,33.21,0.3188
445,42.41,0.3168
446,30.21,0.0000
447,71.64,0.0000
448,34.37,0.0000
449,34.61,0.4132
450,42.45,0.3880
451,41.19,0.4342
452,62.01,0.4283
453,49.91,0.3031
454,52.78,0.0000
455,51.47,0.0000
456,51.55,0.0000
457,39.40,0.0000
458,32.77,0.0000
459,115.51,0.0000
460,29.34,0.4003
461,32.62,0.3851
462,28.85,0.3764
463,36.02,0.4037
464,44.73,0.4042
465,62.61,0.3012
466,27.58,0.3130
467,37.25,0.3589
468,58.80,0.3397
469,37.20,0.3711
470,36.78,0.3715
471,43.65,0.3768
472,59.53,0.4317
473,33.37,0.3876
474,40.36,0.3647
475,52.17,0.4005
476,52.88,0.4106
477,40.53,0.3799
478,44.80,0.4430
479,35.42,0.4337
480,59.02,0.3568
